employee_id,function,level,location,gender,hire_date,base_salary,performance
E001,Engineering,L4,Madrid,M,2021-04-22,62500,Below
E002,Engineering,L2,Madrid,F,2019-04-18,44000,Meets
E004,Engineering,L5,Madrid,M,2023-05-25,87500,Meets
E005,Engineering,L2,Madrid,M,2023-10-24,43500,Meets
E006,Engineering,L4,Barcelona,M,2019-09-19,87500,Meets
E007,Engineering,L4,Remote-ES,F,2019-04-09,63000,Meets
E010,Engineering,L5,Madrid,F,2023-07-07,107500,Below
E013,Engineering,L4,Remote-ES,F,2020-11-20,64500,Exceeds
E014,Engineering,L3,Madrid,M,2022-09-22,60000,Below
E016,Engineering,L6,Barcelona,M,2020-09-27,140000,Below
E017,Engineering,L4,Remote-ES,F,2018-10-01,63000,Exceeds
E018,Engineering,L6,Madrid,M,2021-01-03,140000,Meets
E019,Engineering,L5,Barcelona,F,2025-09-17,109500,Below
E022,Engineering,L2,Barcelona,F,2021-02-03,48000,Below
E025,Engineering,L4,Madrid,F,2023-02-07,83500,Below
E026,Engineering,L3,Remote-ES,M,2025-04-26,56500,Below
E027,Engineering,L2,Remote-ES,F,2019-04-16,47000,Meets
E028,Engineering,L3,Remote-ES,F,2020-07-09,56000,Meets
E029,Engineering,L3,Madrid,M,2020-04-02,62000,Below
E032,Engineering,L3,Remote-ES,F,2018-10-22,67000,Below
E034,Engineering,L3,Madrid,M,2025-06-15,61500,Below
E035,Engineering,L6,Madrid,F,2021-09-12,145000,Exceeds
E037,Engineering,L3,Madrid,F,2022-02-09,61500,Meets
E039,Engineering,L2,Madrid,M,2018-01-21,44000,Meets
E040,Engineering,L2,Madrid,M,2018-02-18,44000,Exceeds
E041,Engineering,L5,Madrid,F,2018-05-12,96500,Meets
E044,Engineering,L5,Remote-ES,F,2019-07-08,105500,Meets
E045,Engineering,L5,Madrid,M,2021-04-13,97000,Meets
E047,Engineering,L3,Madrid,M,2020-10-04,48500,Below
E050,Engineering,L2,Barcelona,M,2023-11-17,47500,Meets
E053,Engineering,L3,Barcelona,M,2020-11-17,52500,Below
E054,Engineering,L3,Madrid,F,2022-04-01,64500,Exceeds
E056,Engineering,L4,Madrid,F,2019-07-26,68500,Below
E059,Engineering,L5,Barcelona,M,2025-11-15,109500,Exceeds
E060,Engineering,L4,Madrid,M,2023-09-05,68000,Meets
