employee_id,function,level,location,gender,hire_date,base_salary,performance
E001,Engineering,L4,Madrid,M,2021-04-22,62500,Below
E002,Engineering,L2,Madrid,F,2019-04-18,44000,Meets
E003,Product,L4,Barcelona,M,2021-08-26,80000,Exceeds
E004,Engineering,L5,Madrid,M,2023-05-25,87500,Meets
E005,Engineering,L2,Madrid,M,2023-10-24,43500,Meets
E006,Engineering,L4,Barcelona,M,2019-09-19,87500,Meets
E007,Engineering,L4,Remote-ES,F,2019-04-09,63000,Meets
E008,G&A,L4,Barcelona,M,2023-04-23,71500,Exceeds
E009,G&A,L4,Madrid,F,2024-05-22,63500,Meets
E010,Engineering,L5,Madrid,F,2023-07-07,107500,Below
E011,Sales,L5,Madrid,M,2024-11-09,92500,Meets
E012,Sales,L3,Barcelona,M,2024-10-08,59000,Meets
E013,Engineering,L4,Remote-ES,F,2020-11-20,64500,Exceeds
E014,Engineering,L3,Madrid,M,2022-09-22,60000,Below
E015,Sales,L5,Madrid,M,2019-05-15,107500,Exceeds
E016,Engineering,L6,Barcelona,M,2020-09-27,140000,Below
E017,Engineering,L4,Remote-ES,F,2018-10-01,63000,Exceeds
E018,Engineering,L6,Madrid,M,2021-01-03,140000,Meets
E019,Engineering,L5,Barcelona,F,2025-09-17,109500,Below
E020,G&A,L3,Barcelona,F,2022-07-15,52000,Below
E021,Product,L3,Madrid,F,2023-01-19,53000,Meets
E022,Engineering,L2,Barcelona,F,2021-02-03,48000,Below
E023,Product,L3,Remote-ES,F,2020-12-08,61500,Meets
E024,Sales,L5,Remote-ES,F,2023-07-28,88500,Exceeds
E025,Engineering,L4,Madrid,F,2023-02-07,83500,Below
E026,Engineering,L3,Remote-ES,M,2025-04-26,56500,Below
E027,Engineering,L2,Remote-ES,F,2019-04-16,47000,Meets
E028,Engineering,L3,Remote-ES,F,2020-07-09,56000,Meets
E029,Engineering,L3,Madrid,M,2020-04-02,62000,Below
E030,Product,L5,Remote-ES,M,2018-01-17,84000,Below
E031,Product,L2,Madrid,F,2020-02-22,51500,Meets
E032,Engineering,L3,Remote-ES,F,2018-10-22,67000,Below
E033,G&A,L4,Barcelona,M,2021-11-08,70000,Meets
E034,Engineering,L3,Madrid,M,2025-06-15,61500,Below
E035,Engineering,L6,Madrid,F,2021-09-12,145000,Exceeds
E036,G&A,L5,Madrid,F,2022-10-22,90000,Below
E037,Engineering,L3,Madrid,F,2022-02-09,61500,Meets
E038,Sales,L4,Barcelona,F,2022-09-28,80500,Exceeds
E039,Engineering,L2,Madrid,M,2018-01-21,44000,Meets
E040,Engineering,L2,Madrid,M,2018-02-18,44000,Exceeds
E041,Engineering,L5,Madrid,F,2018-05-12,96500,Meets
E042,G&A,L4,Madrid,M,2024-10-08,79500,Meets
E043,G&A,L6,Barcelona,M,2018-03-26,137500,Meets
E044,Engineering,L5,Remote-ES,F,2019-07-08,105500,Meets
E045,Engineering,L5,Madrid,M,2021-04-13,97000,Meets
E046,Product,L3,Remote-ES,M,2023-11-22,49500,Below
E047,Engineering,L3,Madrid,M,2020-10-04,48500,Below
E048,Product,L3,Madrid,M,2024-10-13,62500,Below
E049,Product,L3,Madrid,M,2018-09-12,49000,Meets
E050,Engineering,L2,Barcelona,M,2023-11-17,47500,Meets
E051,Sales,L4,Remote-ES,M,2020-04-22,70500,Meets
E052,Product,L4,Barcelona,F,2021-07-15,67000,Meets
E053,Engineering,L3,Barcelona,M,2020-11-17,52500,Below
E054,Engineering,L3,Madrid,F,2022-04-01,64500,Exceeds
E055,G&A,L3,Madrid,F,2025-07-23,57500,Meets
E056,Engineering,L4,Madrid,F,2019-07-26,68500,Below
E057,Sales,L3,Barcelona,F,2025-03-25,59000,Meets
E058,G&A,L4,Remote-ES,M,2025-03-15,80500,Meets
E059,Engineering,L5,Barcelona,M,2025-11-15,109500,Exceeds
E060,Engineering,L4,Madrid,M,2023-09-05,68000,Meets
