employee_id,function,level,location,gender,hire_date,base_salary,performance,compa_ratio
E001,Engineering,L4,Madrid,M,2021-04-22,62500,Below,0.868
E002,Engineering,L2,Madrid,F,2019-04-18,44000,Meets,0.957
E003,Product,L4,Barcelona,M,2021-08-26,80000,Exceeds,1.111
E004,Engineering,L5,Madrid,M,2023-05-25,87500,Meets,0.893
E005,Engineering,L2,Madrid,M,2023-10-24,43500,Meets,0.946
E006,Engineering,L4,Barcelona,M,2019-09-19,87500,Meets,1.215
E007,Engineering,L4,Remote-ES,F,2019-04-09,63000,Meets,0.875
E008,G&A,L4,Barcelona,M,2023-04-23,71500,Exceeds,0.993
E009,G&A,L4,Madrid,F,2024-05-22,63500,Meets,0.882
E010,Engineering,L5,Madrid,F,2023-07-07,107500,Below,1.097
E011,Sales,L5,Madrid,M,2024-11-09,92500,Meets,0.944
E012,Sales,L3,Barcelona,M,2024-10-08,59000,Meets,1.026
E013,Engineering,L4,Remote-ES,F,2020-11-20,64500,Exceeds,0.896
E014,Engineering,L3,Madrid,M,2022-09-22,60000,Below,1.043
E015,Sales,L5,Madrid,M,2019-05-15,107500,Exceeds,1.097
E016,Engineering,L6,Barcelona,M,2020-09-27,140000,Below,1.0
E017,Engineering,L4,Remote-ES,F,2018-10-01,63000,Exceeds,0.875
E018,Engineering,L6,Madrid,M,2021-01-03,140000,Meets,1.0
E019,Engineering,L5,Barcelona,F,2025-09-17,109500,Below,1.117
E020,G&A,L3,Barcelona,F,2022-07-15,52000,Below,0.904
E021,Product,L3,Madrid,F,2023-01-19,53000,Meets,0.922
E022,Engineering,L2,Barcelona,F,2021-02-03,48000,Below,1.043
E023,Product,L3,Remote-ES,F,2020-12-08,61500,Meets,1.07
E024,Sales,L5,Remote-ES,F,2023-07-28,88500,Exceeds,0.903
E025,Engineering,L4,Madrid,F,2023-02-07,83500,Below,1.16
E026,Engineering,L3,Remote-ES,M,2025-04-26,56500,Below,0.983
E027,Engineering,L2,Remote-ES,F,2019-04-16,47000,Meets,1.022
E028,Engineering,L3,Remote-ES,F,2020-07-09,56000,Meets,0.974
E029,Engineering,L3,Madrid,M,2020-04-02,62000,Below,1.078
E030,Product,L5,Remote-ES,M,2018-01-17,84000,Below,0.857
E031,Product,L2,Madrid,F,2020-02-22,51500,Meets,1.12
E032,Engineering,L3,Remote-ES,F,2018-10-22,67000,Below,1.165
E033,G&A,L4,Barcelona,M,2021-11-08,70000,Meets,0.972
E034,Engineering,L3,Madrid,M,2025-06-15,61500,Below,1.07
E035,Engineering,L6,Madrid,F,2021-09-12,145000,Exceeds,1.036
E036,G&A,L5,Madrid,F,2022-10-22,90000,Below,0.918
E037,Engineering,L3,Madrid,F,2022-02-09,61500,Meets,1.07
E038,Sales,L4,Barcelona,F,2022-09-28,80500,Exceeds,1.118
E039,Engineering,L2,Madrid,M,2018-01-21,44000,Meets,0.957
E040,Engineering,L2,Madrid,M,2018-02-18,44000,Exceeds,0.957
E041,Engineering,L5,Madrid,F,2018-05-12,96500,Meets,0.985
E042,G&A,L4,Madrid,M,2024-10-08,79500,Meets,1.104
E043,G&A,L6,Barcelona,M,2018-03-26,137500,Meets,0.982
E044,Engineering,L5,Remote-ES,F,2019-07-08,105500,Meets,1.077
E045,Engineering,L5,Madrid,M,2021-04-13,97000,Meets,0.99
E046,Product,L3,Remote-ES,M,2023-11-22,49500,Below,0.861
E047,Engineering,L3,Madrid,M,2020-10-04,48500,Below,0.843
E048,Product,L3,Madrid,M,2024-10-13,62500,Below,1.087
E049,Product,L3,Madrid,M,2018-09-12,49000,Meets,0.852
E050,Engineering,L2,Barcelona,M,2023-11-17,47500,Meets,1.033
E051,Sales,L4,Remote-ES,M,2020-04-22,70500,Meets,0.979
E052,Product,L4,Barcelona,F,2021-07-15,67000,Meets,0.931
E053,Engineering,L3,Barcelona,M,2020-11-17,52500,Below,0.913
E054,Engineering,L3,Madrid,F,2022-04-01,64500,Exceeds,1.122
E055,G&A,L3,Madrid,F,2025-07-23,57500,Meets,1.0
E056,Engineering,L4,Madrid,F,2019-07-26,68500,Below,0.951
E057,Sales,L3,Barcelona,F,2025-03-25,59000,Meets,1.026
E058,G&A,L4,Remote-ES,M,2025-03-15,80500,Meets,1.118
E059,Engineering,L5,Barcelona,M,2025-11-15,109500,Exceeds,1.117
E060,Engineering,L4,Madrid,M,2023-09-05,68000,Meets,0.944
